Station,Coord X,Coord Y,Altitude
ABOR1,2521077,1151629,504.6
ABOT1,2519862,1155534,666.0
ABOT2,2519923,1154643,663.9
ABOT3,2521123,1151684,515.2
ABOR2,2524102,1149509,412.9
ABOT4,2521123,1151684,515.4
PT15,2519857,1153198,592.9
