CODE_MdlR,CODE_RTV_2021,Coord X,Coord Y,Taux de recouvrement de la ripisylve (%),Altitude,WGS84_Latitude,WGS84_Longitude,ratio
RTV028,RTV_BOM_LEM_0388,2525323,1150240,100,388,46.49929431645538,6.465835031151281,0.8087027914614121
BOI020,RTV_BLA_BOM_0397,2524895,1150320,100,397,46.49996595551742,6.4602471035558295,0.31937602627257794
BOI015,RTV_BOM_LEM_0372,2526344,1149431,100,372,46.49213070248596,6.47926317627373,1.0
BOI019,RTV_BOM_LEM_0379,2526007,1149860,75,379,46.49595231145091,6.47480539954483,1.0
BOI018,RTV_BOM_LEM_0383,2525635,1149957,80,383,46.4967835380358,6.46994458232255,0.8087027914614121
BOI021,RTV_BOM_LEM_0392,2525010,1150251,100,392,46.499358218563266,6.461756264024318,0.48932676518883417
BOI013,RTV_BOM_LEM_0406,2524447,1149734,100,406,46.494644456305046,6.454507524669125,0.48932676518883417
BOI012,RTV_BOM_LEM_0421,2523618,1149689,100,421,46.49414547891602,6.443717792245454,0.48932676518883417
BOI011,RTV_BOM_LEM_0440,2522970,1150411,90,440,46.50056542294422,6.435157634352684,0.5408320493066255
RTV008,RTV_BOM_LEM_0459,2522299,1151035,70,459,46.50610055061715,6.426312319573783,0.3920289855072464
BOI009,RTV_BOM_LEM_0484,2521553,1151594,65,484,46.511041524009975,6.416499119402072,0.6231155778894472
RTV045,RTV_BOM_LEM_0581,2519932,1153004,85,581,46.523531960556525,6.395135712187039,0.41247323565416805
BOI006,RTV_BOM_LEM_0641,2519417,1153930,90,641,46.53179922437936,6.388262842622682,0.191588785046729
BOI005,RTV_BOM_LEM_0660,2519755,1154390,100,660,46.53597751337155,6.392587989561911,0.19444444444444445
BOI001,RTV_BOM_LEM_0662,2520022,1155807,25,662,46.54875515685714,6.395822224268795,0.24793388429752067
RTV021,RTV_BOM_LEM_0663,2519927,1155040,55,663,46.54184476881993,6.394716954722311,0.1885245901639344
BOI017,RTV_BTM_BOM_0583,2520218,1152931,90,583,46.52290955022601,6.398875261838376,0.04672897196261683
BOI008,RTV_BTM_BOM_0535,2520528,1152013,0,535,46.51468925241678,6.403073045594002,0.6231155778894472
BOI016,RTV_BTM_BOM_0654,2519171,1153856,0,654,46.53110389277476,6.385069658892382,0.0
