epoch,month,error
1,5,12.653302
1,5,10.662002
1,4,8.696958
1,11,6.088284
1,5,10.230698
1,11,5.329104
1,5,11.806883
1,10,13.28814
1,10,10.340209
1,11,8.250122
1,10,15.657978
1,11,5.028843
1,9,14.02443
1,9,19.814182
1,11,10.63687
1,9,17.871695
1,7,19.159351
1,8,17.742563
1,8,18.017065
1,8,17.54972
1,6,13.56853
1,6,18.633062
1,6,17.34762
1,8,20.620857
1,8,20.242971
1,8,15.465172
1,6,14.613926
1,7,12.641175
1,7,19.96386
1,8,18.540272
1,8,14.748985
1,8,17.490286
1,7,18.839975
1,8,11.527201
1,6,15.8106365
1,6,16.062063
1,6,16.529146
1,7,21.746906
1,8,16.448727
1,7,12.100751
1,7,15.470888
1,7,18.994875
1,7,18.68965
1,6,10.713061
1,8,15.545261
1,8,11.234117
1,8,15.374243
1,7,15.322168
1,6,15.667501
1,7,18.983612
1,7,14.2083435
1,7,14.967787
1,7,20.938549
1,7,20.145117
1,7,18.601652
1,8,17.779688
1,6,17.713108
1,6,14.177445
1,6,17.370008
1,6,15.113135
1,8,18.786312
1,7,17.57867
1,8,21.571531
1,8,15.66091
1,8,18.737797
1,7,12.929821
1,12,1.3820937
1,2,5.7973766
1,12,4.4633102
1,2,6.350078
1,12,9.093295
1,12,8.780045
1,12,7.24604
1,2,4.8940506
1,12,6.6432004
1,1,6.263206
1,1,3.1612697
1,12,8.105097
1,2,6.984407
1,1,6.335599
1,1,3.81328
1,2,6.557917
1,2,6.4729404
1,2,8.614678
1,2,5.8876653
1,12,3.4585338
1,12,5.3779964
1,1,1.7814176
1,2,6.710149
1,2,4.884039
1,12,8.496564
1,2,6.4731007
1,2,3.125638
1,12,4.1102905
1,2,6.2550406
1,12,6.831269
1,12,7.9257474
1,12,5.552831
1,2,6.220673
1,2,5.121187
1,2,6.7766333
1,1,2.2832396
1,12,3.6842375
1,2,7.088656
1,1,2.9091744
1,1,5.0963836
1,1,5.805384
1,12,5.6819973
1,12,2.5841827
1,12,6.925388
1,2,8.174029
1,1,6.5138755
1,2,5.5826464
1,2,6.5418653
1,1,6.2022266
1,2,5.7920513
1,1,5.8078017
1,1,6.289706
1,1,6.586066
1,1,4.560057
1,2,5.8607435
1,2,4.0000606
1,2,5.166859
1,1,7.3089266
1,9,8.327619
1,10,12.168156
1,9,8.120197
1,10,4.934378
1,9,8.679834
1,11,6.4716306
1,11,7.9588733
1,9,12.67836
1,9,6.090538
1,10,7.089761
1,10,4.2273097
1,10,6.585644
1,11,6.3527336
1,10,7.1841316
1,10,7.343357
1,9,14.866012
1,9,6.756942
1,11,1.6652648
1,9,8.676655
1,10,5.5077252
1,10,14.461382
1,10,14.06969
1,11,5.3756456
1,10,11.735392
1,11,9.04578
1,10,8.505927
1,10,9.605765
1,9,14.1884985
1,11,5.566159
1,10,11.409248
1,10,9.534972
1,11,5.506437
1,9,20.347637
1,10,11.855207
1,10,13.495567
1,9,16.057966
1,10,15.941179
1,11,7.9878435
1,9,13.60137
1,10,14.976612
1,10,12.4092045
1,10,11.556591
1,11,10.718875
1,10,8.622891
1,10,13.294551
1,9,11.766759
1,9,15.813966
1,10,11.293991
1,10,8.709892
1,11,10.226298
1,9,12.402463
1,10,13.028288
1,9,12.122887
1,10,15.536041
1,10,11.911504
1,9,12.815554
1,11,9.268251
1,9,13.04787
1,9,13.781859
1,9,17.977499
1,10,13.489233
1,10,16.509752
1,9,15.056542
1,9,11.799353
1,5,8.092026
1,4,6.560754
1,4,7.9079556
1,4,8.681633
1,5,6.6531262
1,4,6.2675695
1,5,13.977704
1,11,6.920934
1,4,9.308746
1,5,10.823195
1,5,12.1543255
1,11,3.174321
1,11,7.4558606
1,11,6.7304387
1,11,6.477408
1,5,8.955194
1,11,5.3096266
1,4,9.6154
1,4,8.7951975
1,4,7.469098
1,5,11.315874
1,4,7.3289857
1,5,9.540014
1,5,11.047947
1,4,7.063417
1,4,11.464423
1,5,13.770631
1,4,6.7100267
1,5,12.909
1,11,7.3471994
1,11,6.8613453
1,11,6.97139
1,5,15.371187
1,5,13.643641
1,4,8.567319
1,4,11.670754
1,5,14.634264
1,11,3.7483318
1,5,13.958269
1,11,6.1820507
1,5,9.409597
1,5,11.200139
1,5,11.134224
1,5,8.37363
1,11,3.464825
1,5,12.583355
1,5,12.669624
1,5,15.803006
1,5,13.106494
1,11,4.2508283
1,4,13.135172
1,11,7.8539596
1,5,7.3935943
1,5,9.520656
1,4,5.4424644
1,5,14.25308
1,4,9.972914
1,5,15.75719
1,5,11.324764
1,4,7.933426
1,4,9.360864
1,5,13.765681
1,11,7.758319
1,4,5.0722256
1,4,8.172304
1,4,7.3495674
1,11,8.856972
1,4,10.444019
1,11,8.403597
1,4,8.566269
1,8,21.697483
1,6,13.501182
1,8,14.625171
1,8,18.518229
1,8,18.193895
1,8,17.746296
1,7,20.568327
1,8,21.274654
1,8,13.400569
1,6,15.803359
1,7,17.544582
1,7,16.993095
1,6,12.531012
1,8,20.867268
1,6,13.181227
1,6,19.464828
1,6,18.616407
1,8,16.990326
1,6,16.591675
1,8,21.997984
1,7,22.410444
1,8,20.15614
1,7,18.59945
1,6,16.432858
1,6,20.354958
1,7,22.329287
1,6,16.687235
1,6,16.51119
1,8,20.087954
1,6,14.272882
1,8,18.513752
1,7,18.421198
1,7,17.704086
1,6,17.43345
1,6,17.18652
1,8,22.928236
1,7,20.303196
1,6,19.44434
1,8,14.449755
1,6,19.146671
1,8,20.864862
1,8,18.636724
1,6,15.271489
