epoch,month,error
1,9,18.161673
1,9,12.49927
1,11,10.470203
1,9,16.327875
1,11,14.038431
1,9,21.121407
1,10,12.163337
1,9,14.69315
1,9,16.594704
1,10,13.350862
1,9,14.739848
1,10,10.963445
1,11,10.393344
1,10,11.694698
1,11,9.406803
1,10,15.217093
1,11,12.442473
1,10,11.557934
1,11,7.7329335
1,9,18.108704
1,11,11.651768
1,10,14.136533
1,10,15.347171
1,10,14.45869
1,11,10.173077
1,10,9.693081
1,10,11.972639
1,10,15.679732
1,9,19.83946
1,10,12.858079
1,9,19.595936
1,10,12.081063
1,9,15.049557
1,9,14.39654
1,11,9.086758
1,9,13.507347
1,11,11.364598
1,9,17.745783
1,10,11.584298
1,9,21.345486
1,10,9.2383995
1,9,12.121882
1,10,12.606734
1,9,16.639006
1,11,8.647132
1,10,12.260602
1,11,9.930563
1,10,13.201757
1,10,20.021143
1,11,8.5040865
1,11,10.873968
1,9,18.146996
1,10,16.116262
1,9,17.40483
1,9,13.664808
1,9,19.191494
1,9,17.020275
1,4,10.517631
1,5,8.920525
1,5,10.3208885
1,4,8.9987955
1,5,8.646668
1,11,8.661756
1,4,12.514667
1,4,9.626054
1,5,12.628384
1,4,10.778779
1,5,11.789603
1,4,10.682597
1,4,8.378866
1,11,5.833338
1,11,7.356805
1,5,9.771339
1,11,8.187806
1,4,10.204379
1,4,10.313982
1,11,5.863781
1,4,10.726901
1,5,9.97277
1,11,5.897513
1,11,4.5557656
1,11,9.230104
1,5,13.705161
1,5,13.174894
1,11,6.4024396
1,11,9.696475
1,11,7.0647526
1,4,11.785085
1,4,12.507453
1,11,7.9352174
1,11,9.43029
1,11,5.9061165
1,5,10.599774
1,5,10.810278
1,4,9.348948
1,11,6.2018876
1,5,11.449262
1,5,15.906245
1,4,11.886225
1,11,7.171439
1,11,6.63647
1,5,15.922273
1,5,14.370171
1,4,9.422564
1,4,8.976384
1,5,12.827858
1,5,12.999118
1,5,10.501192
1,11,7.811549
1,4,10.298388
1,11,10.020668
1,4,9.692707
1,11,7.8382525
1,4,10.132002
1,11,8.091009
1,6,14.282255
1,6,20.413445
1,8,18.229462
1,8,13.117707
1,6,13.352467
1,8,15.329728
1,7,14.126582
1,8,19.118906
1,6,16.926893
1,6,18.23027
1,7,21.133047
1,7,18.509163
1,6,13.650974
1,7,7.2840643
1,7,4.948654
1,8,11.551765
1,6,10.073385
1,6,7.866608
1,6,8.5668335
1,7,10.112444
1,7,8.125479
1,7,6.390496
1,6,7.7203465
1,6,6.183362
1,7,6.6214905
1,6,3.260338
1,6,10.7807255
1,8,7.6248884
1,7,7.304876
1,7,9.902512
1,6,10.010541
1,7,8.26816
1,8,8.786725
1,6,4.7067456
1,8,10.302873
1,7,9.870184
1,7,5.6246214
1,8,8.252734
1,7,5.9224873
1,6,7.579932
1,8,7.209396
1,8,10.739183
1,6,3.9031968
1,7,16.36024
1,7,9.06744
1,7,11.160275
1,6,9.134167
1,8,12.7435055
1,8,8.818737
1,6,8.536647
1,7,18.087387
1,6,14.014092
1,7,7.7780247
1,8,8.113555
1,7,7.032837
1,6,6.6429844
1,6,9.151201
1,7,10.242815
1,6,7.6265364
1,7,8.167725
1,6,9.341187
1,7,9.61564
1,7,6.137501
1,8,10.636133
1,12,6.643493
1,1,3.5846152
1,2,0.3385377
1,2,2.7934997
1,1,2.4099755
1,12,2.6890187
1,2,5.2508526
1,12,2.4557753
1,12,4.9149923
1,12,1.3216369
1,12,1.415755
1,2,3.9125109
1,2,4.617922
1,2,3.5560582
1,1,0.74201465
1,1,1.9241846
1,1,0.19796693
1,1,1.2293162
1,2,4.6385465
1,12,2.320506
1,12,0.8524264
1,1,2.7763937
1,12,4.9770365
1,1,3.7093375
1,2,1.9812934
1,1,0.052314043
1,12,0.46934915
1,12,0.24534391
1,12,0.13339674
1,1,3.452856
1,1,0.6737621
1,1,0.18432474
1,1,2.2752535
1,1,1.7108674
1,1,0.7821125
1,1,1.7817612
1,1,1.4969275
1,12,3.3741665
1,1,2.6956382
1,1,3.6332355
1,1,5.3698916
1,2,0.76062566
1,1,2.7901402
1,12,0.3841914
1,12,1.5969493
1,12,1.6371853
1,1,1.3664215
1,1,0.6913854
1,1,3.853949
1,2,1.5149534
1,1,1.520194
1,1,1.0592432
1,12,0.19237554
1,1,1.2491475
1,1,1.5129312
1,2,4.8525743
1,2,1.3703619
1,2,2.0497024
1,2,4.0090237
1,2,2.3483443
1,1,3.5965524
1,9,18.63063
1,10,11.505943
1,10,13.871564
1,9,13.822293
1,11,7.67506
1,9,10.584416
1,11,7.0385194
1,11,6.7460775
1,9,10.05916
1,10,7.9738708
1,9,17.83347
1,10,13.860551
1,10,10.350716
1,9,15.982258
1,9,11.4002495
1,11,4.9897194
1,8,16.166746
1,8,14.196262
1,7,17.512812
1,8,14.140416
1,7,11.8826885
1,8,18.030464
1,8,10.063287
1,6,11.693407
1,7,16.559704
1,6,13.364977
1,6,13.951486
1,7,10.411564
1,8,11.748241
1,6,12.6536875
1,8,8.69897
1,6,14.23019
1,7,9.823984
1,8,13.704996
1,7,18.739384
1,7,14.79929
1,7,14.365919
1,6,12.710379
1,7,17.061985
1,8,14.8277445
1,7,15.2906685
1,7,17.998373
1,7,13.663705
1,6,10.913724
1,6,12.718254
1,7,11.815678
1,6,14.761105
1,8,12.898674
1,8,8.88882
1,7,11.630638
1,8,22.259508
1,6,17.793024
1,8,10.267488
1,8,17.547245
1,8,15.807473
1,6,15.6315975
1,7,17.007805
1,6,14.723043
1,7,18.170967
1,8,13.458282
1,8,16.91619
1,8,17.457481
1,8,18.247692
1,6,11.660372
1,7,10.208103
1,6,13.375943
1,12,0.042813778
1,2,3.7977645
1,12,3.5772808
1,1,1.7705727
1,2,4.085226
1,1,5.525236
1,12,4.593099
1,1,1.4833484
1,12,4.093969
1,12,5.8501854
1,12,3.9801035
1,1,2.2507634
1,2,3.0116634
1,2,3.2767324
1,2,5.5250626
1,2,2.91431
1,1,0.27891612
1,1,3.443005
1,2,3.7959743
1,1,4.401724
1,1,0.4899038
1,2,3.150453
1,2,3.4677796
1,1,1.6812108
1,12,4.8555903
1,2,1.2773027
1,2,4.7374163
1,12,1.0069735
1,2,3.4599595
1,1,4.1636634
1,12,3.405266
1,2,4.21319
1,2,2.5271337
1,2,2.4050133
1,1,3.3139606
1,1,0.086865425
1,2,4.881193
1,12,1.6871309
1,1,0.97050714
1,12,1.8718014
1,2,3.3628561
1,12,0.48291063
1,12,5.342964
1,12,3.3480182
1,1,4.0361156
1,1,3.5059447
1,2,2.4730716
1,2,2.191228
1,2,3.9555578
1,1,3.3844285
1,12,3.0418682
1,2,2.537104
1,2,5.901305
1,12,2.9059803
1,2,2.6638782
1,1,4.741107
1,1,2.0518165
1,1,2.6566446
1,10,9.219357
1,9,5.122693
