epoch,month,error
1,7,16.255693
1,6,14.319944
1,8,17.045794
1,8,17.498552
1,7,19.51511
1,6,14.8866205
1,8,14.916332
1,6,15.124788
1,6,14.939966
1,6,12.205803
1,6,16.838587
1,8,14.518902
1,6,11.850587
1,8,18.495508
1,7,12.69412
1,6,15.525129
1,8,11.4504385
1,7,16.976627
1,8,11.751544
1,8,14.131536
1,7,21.01058
1,7,8.785009
1,8,10.258623
1,6,17.368816
1,6,9.466322
1,7,13.395409
1,7,16.236776
1,7,20.88885
1,8,10.690277
1,7,14.264239
1,6,13.560684
1,8,16.108294
1,8,18.007788
1,7,16.881275
1,6,17.27006
1,7,13.109312
1,8,22.2767
1,7,15.443276
1,6,19.403854
1,6,13.249844
1,7,21.47521
1,8,17.094656
1,7,19.679846
1,6,14.5305
1,6,13.632084
1,6,12.85291
1,8,16.675352
1,8,15.31669
1,7,13.405452
1,7,14.232286
1,12,2.8927116
1,12,6.9605207
1,1,1.0642099
1,2,4.9237957
1,12,3.9315443
1,1,2.4357054
1,12,7.2569704
1,2,2.9895072
1,1,1.4939926
1,1,1.0275989
1,12,5.6847982
1,2,5.686014
1,1,4.4300995
1,2,10.845749
1,12,6.801326
1,12,7.203756
1,1,4.9903235
1,1,7.8988533
1,1,1.6266375
1,2,6.3285007
1,2,3.557227
1,2,5.445839
1,1,1.0898421
1,2,3.7805018
1,2,3.557508
1,12,6.786148
1,12,7.5872383
1,12,1.329709
1,2,4.1073217
1,12,4.936225
1,12,4.8228035
1,2,6.8721013
1,2,1.3451405
1,12,6.967366
1,12,1.4418344
1,12,7.790016
1,1,2.3190837
1,1,0.09440327
1,1,2.2128572
1,2,5.6639442
1,1,3.0139806
1,12,9.007984
1,12,2.3810515
1,12,2.3519578
1,12,4.092106
1,2,4.013296
1,1,1.4532471
1,12,5.603542
1,2,2.8527524
1,1,0.060816288
1,2,3.057959
1,1,4.052369
1,2,3.452714
1,12,5.500885
1,1,5.584019
1,1,2.4466553
1,1,4.8924637
1,1,4.366725
1,11,6.0484753
1,9,8.6185
1,10,10.421718
1,11,0.72144985
1,11,8.213399
1,10,9.93474
1,9,11.808388
1,9,3.4235096
1,10,3.3993154
1,10,7.5296535
1,10,10.037992
1,11,4.9695325
1,11,4.5957403
1,10,5.2547855
1,9,1.7572069
1,9,3.7401638
1,9,8.871323
1,11,3.5071201
1,9,11.315168
1,11,2.0068698
1,10,85.043045
1,11,84.067566
1,10,80.50602
1,9,205.29628
1,11,192.29454
1,9,146.49014
1,9,74.76226
1,10,87.00291
1,9,88.592285
1,9,135.3999
1,10,79.43434
1,10,168.85516
1,9,79.20642
1,11,97.96483
1,10,107.84079
1,11,196.70702
1,10,164.66992
1,11,216.13406
1,11,156.6932
1,9,187.12756
1,10,140.07863
1,10,82.29996
1,10,98.20189
1,10,102.11299
1,11,101.87352
1,10,117.71976
1,10,121.04276
1,10,191.7105
1,10,122.12486
1,9,64.69986
1,9,121.4572
1,11,102.85405
1,11,222.4753
1,11,153.516
1,9,87.26176
1,9,223.089
1,11,171.28181
1,10,220.92172
1,10,80.06885
1,10,186.20078
1,9,85.09986
1,9,79.87756
1,10,236.6109
1,10,71.48681
1,9,48.914986
1,10,85.250244
1,10,121.6654
1,10,62.815422
1,10,87.16561
1,11,99.16871
1,11,93.084915
1,10,170.76318
1,10,105.12861
1,9,167.42348
1,9,79.2655
1,9,168.5179
1,9,100.19939
1,4,101.28049
1,5,366.2934
1,5,167.85495
1,5,240.6592
1,5,89.60188
1,5,75.59175
1,11,105.95498
1,11,101.67276
1,4,90.254074
1,5,162.16125
1,5,89.102936
1,4,113.940674
1,4,78.902374
1,11,320.02676
1,4,110.69613
1,5,87.8964
1,11,224.10051
1,4,199.35379
1,11,212.39648
1,4,112.92838
1,4,133.22678
1,11,144.24146
1,4,75.38047
1,5,151.34406
1,5,62.199226
1,11,179.71732
1,11,98.128845
1,5,87.70201
1,11,243.51474
1,5,126.72803
1,4,91.934074
1,4,96.13597
1,5,97.0399
1,5,84.781006
1,11,122.4634
1,5,106.10568
1,11,114.31138
1,4,68.245056
1,4,262.4093
1,11,140.42142
1,4,236.37425
1,11,78.44741
1,11,119.21361
1,5,141.37231
1,5,123.10996
1,5,110.008
1,5,166.24477
1,4,107.63856
1,5,72.21211
1,5,322.21976
1,4,116.91526
1,11,145.36113
1,11,121.54379
1,5,203.4096
1,5,98.29709
1,11,72.52404
1,4,77.04468
1,4,158.04507
1,7,101.20166
1,8,91.13307
1,8,183.06012
1,6,202.61316
1,7,133.33636
1,7,89.38188
1,8,138.55005
1,6,89.818634
1,7,101.14554
1,8,88.78399
1,7,261.45627
1,6,215.28061
1,8,118.932335
1,7,65.46634
1,7,35.386837
1,6,63.881577
1,6,57.72838
1,7,38.642326
1,8,43.66488
1,7,50.65698
1,6,57.616898
1,7,51.128143
1,7,61.240883
1,7,39.57544
1,7,38.39802
1,8,47.896553
1,6,44.779823
1,7,70.30575
1,6,48.56019
1,8,81.0821
1,6,40.950096
1,8,94.34214
1,8,49.36742
1,6,56.125244
1,7,41.58558
1,6,62.909634
1,6,41.160877
1,8,60.741802
1,8,86.215805
1,8,52.164562
1,8,32.487885
1,8,49.053284
1,7,47.174503
1,6,49.77102
1,6,73.716156
1,7,58.199795
1,8,32.29879
1,8,40.690163
1,7,78.12555
1,7,62.270866
1,7,65.95017
1,6,39.22762
1,8,69.437614
1,7,86.56403
1,7,47.602478
1,7,62.360546
1,7,53.4969
1,7,64.4646
1,6,55.286182
1,6,53.38267
1,8,57.47948
1,7,68.59749
1,6,56.961674
1,6,63.80908
1,12,51.195793
1,2,54.963634
1,1,57.45298
1,2,55.39027
1,12,37.908512
1,2,69.7779
1,1,65.484856
1,12,64.269005
1,12,59.581306
1,12,59.941
1,12,47.418003
1,12,50.453545
1,2,79.680374
1,12,62.718872
1,2,65.29642
1,2,52.67748
1,12,59.351265
1,1,73.9714
1,1,66.320816
1,12,44.27054
1,2,54.033825
1,1,53.15123
1,1,87.96269
1,2,78.108604
1,1,71.87073
1,1,65.830505
1,1,62.704178
1,1,58.968475
1,2,62.471775
1,12,54.26478
1,1,54.87823
1,12,63.58155
1,2,50.878418
1,12,48.05622
1,12,71.19348
1,12,67.08834
1,1,53.730072
1,1,96.446175
1,1,48.704674
1,1,56.645844
1,2,50.690544
1,2,63.718086
1,2,81.46146
1,12,52.955505
1,12,89.90179
1,2,53.831604
1,1,73.92375
1,12,67.08494
1,1,59.355293
1,1,53.33142
1,2,63.27271
1,12,70.99438
1,1,74.71743
1,2,83.695335
1,2,60.81521
1,2,56.46871
1,1,79.560745
1,2,58.108345
1,2,88.15176
1,2,62.296474
1,1,58.23422
1,9,45.50923
1,9,34.91439
1,9,49.794685
1,10,35.257637
1,11,51.35053
1,9,42.92344
1,9,59.45862
1,10,44.796333
1,10,33.336895
1,9,35.021713
1,10,34.269886
1,9,56.357204
1,10,45.88134
1,9,52.769394
1,11,55.707222
1,9,51.45708
1,9,0.8954725
1,10,4.6837683
1,9,4.021621
1,9,13.950661
1,11,1.6734759
1,10,5.187209
1,11,1.1983976
1,10,3.6081846
1,10,7.580941
1,10,0.4735427
1,10,4.614624
1,9,7.6800156
1,9,7.612233
1,10,3.5555286
1,11,0.3841548
1,9,6.222682
1,9,7.318208
1,9,2.1637764
1,9,4.3462176
1,10,1.0130773
1,10,4.112623
1,10,5.239056
1,9,1.355145
1,11,5.7220287
1,11,1.56003
1,11,3.3828464
1,10,4.8191137
1,10,1.3817453
1,10,10.955892
1,10,3.2494416
1,9,5.083926
1,9,3.9749875
1,9,9.745275
1,9,3.9499025
1,11,3.1180787
1,9,5.67107
1,9,3.408999
1,9,6.1616273
1,9,5.3145123
1,11,2.4473722
1,11,4.2581677
1,4,3.7823653
1,5,2.7197616
1,5,4.514984
1,4,2.6288223
1,4,4.588457
1,5,5.6207833
1,4,1.875534
1,11,1.6304078
1,5,1.6933918
1,5,3.21459
1,11,1.0336661
1,4,3.7487016
1,4,0.20351934
1,4,2.0956657
1,5,4.013473
1,5,2.8423605
1,5,3.1918626
1,5,3.6283445
1,5,6.6689644
1,11,2.4473329
1,5,4.41998
1,4,0.05103922
1,5,3.0845168
1,4,1.818022
1,11,0.8804555
1,4,5.6640944
1,5,2.9745646
1,5,0.75655264
1,4,2.9654021
1,4,0.5156617
1,11,1.7932687
1,4,1.0526476
1,11,2.7124991
1,4,0.3905282
1,4,1.4952041
1,11,1.3634996
1,5,3.224476
1,11,2.3058894
1,4,2.7325594
1,4,1.148026
1,4,0.20862794
1,4,0.044306755
1,5,1.5919155
1,11,3.6429982
1,4,0.29045057
1,5,0.7805009
1,4,2.1686215
1,5,0.34528828
1,11,7.739949
1,11,3.2865787
1,4,0.25253677
1,5,0.91347694
1,5,6.4732018
1,11,2.453455
1,5,0.61253977
1,4,2.6682413
1,5,6.4023266
1,5,0.7368536
1,11,1.944003
1,5,3.9791563
1,11,1.7319901
1,5,6.5029354
1,4,2.7310977
1,5,1.5402563
1,6,10.231253
1,7,7.005869
1,8,5.9479003
1,7,2.2189116
1,6,7.960467
1,8,6.412575
1,7,1.1716146
1,6,5.0805116
1,7,0.34756947
1,8,6.1541996
1,6,0.050061226
1,7,7.5965505
1,8,4.8896785
1,6,4.3268065
1,7,5.786458
1,6,7.3920393
1,7,5.2417364
1,6,4.56907
1,8,9.344018
1,7,8.559047
1,6,5.0515375
1,8,6.942733
1,8,6.204826
1,6,13.459792
1,8,21.702852
1,6,16.599792
1,8,21.190664
1,6,19.247232
1,6,18.445807
1,7,16.076862
1,6,16.438717
1,7,21.51191
1,8,19.309654
1,7,21.71404
1,8,20.629791
1,6,16.540932
1,7,22.628077
1,8,14.869972
1,6,14.843054
1,7,17.970972
1,8,18.519693
1,8,15.301866
1,6,16.867733
1,6,15.297137
1,8,21.073029
1,6,20.146244
1,6,19.901579
1,8,20.601526
1,6,19.459791
1,6,20.400784
1,7,15.399792
1,8,19.524206
1,8,17.326536
1,8,21.219791
1,8,20.359217
1,8,18.513956
1,8,15.843803
1,8,15.862406
1,8,17.119793
1,12,0.37230226
1,12,3.4201417
1,2,1.683639
1,2,4.214482
1,1,2.5311732
1,12,6.954045
1,12,2.9060438
1,1,4.340749
1,1,1.5078552
1,1,3.1028478
1,2,2.1497924
1,2,0.8101463
1,1,4.2809544
1,2,5.5602393
1,12,1.3397923
1,2,4.5588894
1,1,3.1380517
1,1,2.2926188
1,2,3.4997923
1,1,0.25111642
1,2,1.9997922
1,1,3.26902
1,2,4.808314
1,1,4.37699
1,1,6.5362167
1,1,5.15804
1,2,6.829792
1,1,4.7278333
1,12,7.972726
1,12,6.5815325
1,2,2.5559907
1,1,2.4963818
1,2,2.9068475
1,1,1.2699215
1,2,6.6194983
1,1,1.5273275
1,2,5.089053
1,12,3.9111915
1,2,3.1247184
1,1,2.2797923
1,1,1.6273248
1,12,4.1512585
1,1,1.2456799
1,12,2.9815464
1,12,3.8134232
1,12,2.6702602
1,12,2.817118
1,1,6.669792
1,12,2.8997924
1,12,6.8845105
1,12,7.1685896
1,12,2.089425
1,12,2.6797924
1,12,6.118795
1,2,3.2347622
1,12,3.8749158
1,1,3.5141058
1,2,2.3476977
1,12,1.9997922
1,1,7.039792
1,1,4.520009
1,12,6.6869335
1,2,4.879625
1,1,1.2915137
1,6,13.253862
1,6,14.356848
1,8,14.389784
1,6,14.399792
1,6,17.194223
1,6,14.819792
1,8,12.568204
1,6,20.426409
1,6,14.929792
1,6,17.269793
1,8,17.812729
1,6,13.003257
1,6,16.900227
1,8,15.265996
1,4,8.84243
1,5,11.558964
1,4,5.328452
1,11,3.4703739
1,4,6.9445353
1,11,5.3264446
1,11,4.629792
1,5,10.403516
1,5,8.005968
1,11,2.4554143
1,5,12.970112
1,5,12.211179
1,11,5.5313926
1,11,5.467308
1,10,12.88968
1,10,7.989679
1,10,12.669528
1,10,14.219808
1,11,5.619679
1,10,14.454357
1,10,9.83968
1,11,5.859679
1,9,10.24968
1,10,8.479679
1,11,5.6257067
1,9,14.282951
1,10,13.730144
1,9,14.93579
1,11,10.103459
1,10,11.537108
1,9,20.07135
1,10,12.230791
1,10,13.787884
1,11,8.42968
1,11,10.689021
1,10,11.841398
1,9,15.205244
1,11,9.194662
1,9,13.020265
1,10,8.814794
1,11,10.584268
1,11,5.0496793
1,11,9.0716715
1,10,9.029679
1,9,19.010763
