epoch,month,error
1,6,2640.4248
1,8,2406.9382
1,8,1896.8984
1,7,2407.982
1,8,2024.7701
1,8,1641.6525
1,8,2904.7666
1,6,2253.0732
1,7,2905.944
1,6,1644.673
1,8,2251.883
1,6,1590.6781
1,6,1898.9185
1,7,3223.708
1,6,2408.7905
1,7,2407.0283
1,7,2251.3584
1,8,1942.1157
1,8,475.8069
1,8,2440.8037
1,8,2163.7764
1,7,2162.9656
1,6,2370.4658
1,8,2406.1082
1,7,2406.3965
1,7,2283.4473
1,6,1590.6519
1,7,2023.7336
1,7,1899.3224
1,6,1644.9985
1,6,2641.3809
1,8,2708.755
1,8,1996.4879
1,6,2708.0154
1,7,2903.3474
1,8,1590.4266
1,7,2238.2522
1,7,3223.9578
1,6,2407.938
1,6,1897.2902
1,7,2022.5109
1,8,2706.6338
1,7,2705.8298
1,6,2027.3577
1,8,2439.9607
1,8,2404.8894
1,8,1895.7661
1,8,2637.5715
1,8,2705.8489
1,6,2711.4268
1,12,2251.388
1,1,2419.035
1,2,2651.0203
1,2,1596.9108
1,12,2384.263
1,2,2452.1099
1,1,1908.571
1,1,2419.038
1,12,3539.4707
1,12,2266.2673
1,12,1951.1637
1,1,1951.8645
1,2,2910.9639
1,12,2182.0225
1,12,2720.216
1,1,2036.5131
1,2,2383.7341
1,2,1909.02
1,2,1655.7703
1,1,1951.5013
1,12,2418.3613
1,2,2650.5396
1,12,2037.2527
1,12,2000.8154
1,12,2177.5686
1,12,2416.1658
1,2,2176.7124
1,1,3531.2515
1,1,2266.176
1,2,1952.0963
1,2,2722.427
1,2,1952.6313
1,12,2382.9314
1,2,1656.2927
1,1,2037.1771
1,1,2385.5667
1,1,2419.5693
1,2,1656.2358
1,12,3237.817
1,1,1951.432
1,12,2417.9238
1,1,2419.4783
1,12,1655.5195
1,12,2036.8263
1,1,2037.7458
1,1,2912.0264
1,12,1596.9294
1,1,1908.4077
1,12,1654.1063
1,2,1655.9252
1,12,1951.0651
1,2,2001.6554
1,12,1595.0529
1,2,2450.569
1,2,1597.7534
1,1,2001.294
1,2,2420.044
1,1,2352.5818
1,11,1603.0321
1,9,763.47894
1,9,1612.9338
1,10,1385.6055
1,9,145.03598
1,10,1599.8596
1,11,96.73206
1,10,1846.051
1,9,1802.2534
1,11,1601.9219
1,11,1023.4177
1,11,1849.7423
1,10,1572.2294
1,11,1500.7566
1,10,1600.6677
1,9,46.222336
1,10,1614.6133
1,9,258.73373
1,11,1239.2864
1,9,666.8452
1,11,13696.985
1,9,13724.87
1,9,13980.54
1,9,14433.955
1,11,14095.374
1,9,13979.799
1,9,14015.101
1,11,14012.418
1,11,13699.899
1,10,13977.81
1,10,17261.848
1,10,13955.195
1,10,14011.035
1,11,17255.504
1,10,13704.333
1,10,14010.545
1,11,14093.198
1,11,14222.608
1,9,14100.93
1,11,12774.083
1,10,17258.947
1,10,14013.491
1,10,14194.168
1,11,13972.678
1,11,14175.214
