epoch,month,error
1,10,11.470326
1,10,14.000298
1,10,7.483866
1,10,7.191283
1,10,12.628115
1,11,11.169551
1,9,11.19351
1,9,7.986071
1,11,5.698828
1,10,10.6410885
1,11,5.279553
1,10,8.56981
1,9,15.314831
1,11,12.216048
1,9,14.820555
1,10,15.53735
1,10,10.01878
1,10,13.844987
1,10,13.981121
1,11,5.2941594
1,9,13.155428
1,9,13.23553
1,11,9.901552
1,9,15.377707
1,10,10.0840025
1,9,18.832157
1,9,11.545893
1,10,14.464018
1,11,6.7602344
1,10,9.685032
1,11,6.6305413
1,10,11.847269
1,11,5.913833
1,10,12.240601
1,9,19.069004
1,10,16.095509
1,9,19.202381
1,10,12.030673
1,10,7.935663
1,9,15.816818
1,9,12.143089
1,10,13.075711
1,10,13.616949
1,9,10.701332
1,4,7.9286375
1,5,10.363427
1,4,5.3396616
1,4,8.131718
1,11,0.11927557
1,5,4.331392
1,11,7.31812
1,5,11.095072
1,4,10.324222
1,5,10.836899
1,11,4.4588046
1,5,11.76343
1,11,2.1587627
1,5,8.948271
1,4,7.4425573
1,11,7.5346227
1,11,5.436651
1,11,4.598762
1,11,5.123336
1,5,10.822971
1,5,10.8170395
1,5,14.004571
1,4,9.60783
1,4,6.461317
1,11,5.1043673
1,4,5.9766912
1,11,5.9053545
1,11,0.1484232
1,11,5.444278
1,5,10.009628
1,4,10.188588
1,11,8.66175
1,5,12.283502
1,5,11.70726
1,4,5.906913
1,4,10.933253
1,5,11.631782
1,5,13.844878
1,11,4.558108
1,5,10.605089
1,5,11.247992
1,11,4.3469324
1,4,0.47117472
1,11,5.1030383
1,5,8.056953
1,5,10.879098
1,4,7.148279
1,4,12.069808
1,5,14.334815
1,11,4.961585
1,11,5.0649796
1,4,9.412701
1,5,7.650866
1,5,10.700748
1,5,7.712061
1,11,6.280432
1,5,16.7572
1,4,8.976389
1,5,15.054791
1,11,5.3716383
1,4,8.661831
1,4,8.371038
1,5,4.1676836
1,11,6.8007593
1,4,4.815131
1,11,6.570204
1,5,8.72744
1,4,5.8843284
1,11,2.587555
1,11,6.0667753
1,7,14.986466
1,8,14.634103
1,8,19.881596
1,6,20.677418
1,8,15.426603
1,8,19.49943
1,8,13.216724
1,6,13.107691
1,8,21.728739
1,6,10.507357
1,6,11.658013
1,8,17.148169
1,8,12.823897
1,7,18.945904
1,4,33.24962
1,4,54.819588
1,5,42.93222
1,4,18.133804
1,5,37.81346
1,5,16.62328
1,4,39.528404
1,11,46.475414
1,9,20.124556
1,9,40.518997
1,9,34.302986
1,10,22.036045
1,10,34.343536
1,10,30.424307
1,11,35.422607
1,10,35.997177
1,11,17.34273
1,9,1.3545609
1,9,6.276559
1,9,4.111086
1,11,10.93762
1,9,0.20576477
1,9,5.4327602
1,11,3.5430307
1,11,18.283058
1,10,3.0857992
1,10,9.037767
1,10,11.11189
1,10,10.270476
1,11,1.0062246
1,10,4.9145985
1,10,12.624027
1,11,24.541348
1,11,31.444826
1,9,3.4407978
1,11,2.900732
1,10,11.574265
1,10,1.3575754
1,10,0.8881998
1,11,6.8508606
1,11,24.170555
1,9,16.332254
1,10,17.47947
1,10,8.10627
1,10,1.0238914
1,9,4.965145
1,10,34.112206
1,10,22.041529
1,9,15.027674
1,11,31.793716
1,9,0.54269695
1,11,17.909348
1,10,8.582999
1,11,15.855951
1,9,9.523571
1,10,20.52063
1,10,9.458515
1,9,15.336407
1,10,5.349658
1,9,0.94281864
1,9,0.59647274
1,10,11.699975
1,10,1.5079117
1,10,10.232622
1,10,10.26618
